pair,mean_spread,final_spread,pair_cv,pair_coef,pairs_in_race,num_trades,profitable_trades,losing_trades,pc_trades_prof,pair_profit,pair_profits_list
h21179978_h7909260,-14.914827586206895,-29.220000000000002,-3.6455281880921544,-0.511692296531989,3,1,0,1,0.0,-0.4035641130684162,[-0.4]
h23030554_h7909260,-22.9548275862069,-40.9,-3.6877730386054233,-0.48268443312062614,3,1,0,1,0.0,-0.3230677557987125,[-0.32]
h7909260_h8156334,26.85137931034483,44.21,-3.6560684662273113,-0.42000707552860056,3,1,0,1,0.0,-0.3106307810087958,[-0.31]
h11194858_h18105905,-13.828620689655171,-5.600000000000001,-3.8145587471803926,-0.411400357892497,4,1,0,1,0.0,-0.31637836353652204,[-0.32]
h12274401_h18823848,7.505172413793103,3.960000000000001,-3.968092821112039,-0.41767150259869307,4,1,0,1,0.0,-0.06511525859646383,[-0.07]
h18105905_h909828,17.43103448275862,1.8000000000000007,-3.884532187035535,-0.5272790123398505,4,1,0,1,0.0,-0.21125934806201485,[-0.21]
h21092030_h21636537,-28.18103448275862,-27.9,-5.825528074427021,-0.4471223363932123,4,1,0,1,0.0,-0.4243136544730177,[-0.42]
h12829441_h19548536,-0.2617241379310345,-2.62,-3.6756907416137112,-0.5934226736223023,1,1,1,0,100.0,0.024079963652885006,[0.02]
h27172000_h27596986,-658.653448275862,-986.0,-3.84684033015179,-0.7086316462676668,1,1,0,1,0.0,-0.10201495798315996,[-0.1]
h27914027_h644719,-22.620344827586198,-28.62,-3.603419129285354,-0.15954536778896028,1,1,1,0,100.0,0.08094511016621597,[0.08]
h12111719_h5921132,-4.583448275862067,-12.780000000000001,-3.895979092960378,-0.6849162118293378,2,2,0,2,0.0,-0.29629742470037357,"[-0.12, -0.17]"
h25724347_h28140758,-50.17655172413793,-51.08,-3.6417871373567525,-0.6415568198693763,1,1,0,1,0.0,-0.2099709273182937,[-0.21]
h12506608_h8787779,4.617241379310344,3.3900000000000006,-3.999381536557911,-0.5201401241305453,1,1,1,0,100.0,0.07401572923752608,[0.07]
h11934891_h12540068,51.038275862068964,49.36,-4.647571159060996,-0.8818154041799118,2,1,0,1,0.0,-0.10119048927982277,[-0.1]
h12418850_h18227241,10.268620689655176,23.72,-5.307404742890861,-0.7398668518393283,2,1,0,1,0.0,-0.0130736572545338,[-0.01]
h12218723_h4650696,-273.3344827586207,-406.01,-5.345767418601592,-0.26334940253664085,4,1,0,1,0.0,-0.3413384216982358,[-0.34]
h22071694_h4650696,-270.99586206896544,-405.68,-5.234941553130504,-0.1801517288796896,4,1,0,1,0.0,-0.4581339712918604,[-0.46]
h24209749_h4650696,-269.15965517241375,-402.8,-4.547884376287501,-0.32369077150279935,4,1,0,1,0.0,-0.3900448728602246,[-0.39]
h26641008_h4650696,-277.38068965517243,-410.34,-5.847506793536675,-0.2300459228893882,4,1,0,1,0.0,-0.42291407222913446,[-0.42]
h24121892_h27255515,9.028620689655172,5.109999999999999,-3.8523029731415948,-0.2889050308096113,3,1,0,1,0.0,-0.009597712885441645,[-0.01]
h11811847_h8507654,-2.292758620689655,-9.850000000000001,-4.646896828926899,-0.47180033705506425,4,1,0,1,0.0,-0.12295495939955359,[-0.12]
h15939824_h8507654,-15.684827586206897,0.0799999999999983,-4.086191939126529,-0.5412630414568935,4,1,1,0,100.0,0.1263142128604713,[0.13]
h10460778_h26354103,21.34275862068965,15.770000000000001,-4.071098014369397,-0.6187703977550025,3,1,0,1,0.0,-0.1712087912087874,[-0.17]
h16117340_h21734643,116.76655172413793,159.02,-3.5870926503834397,-0.6893430471027097,3,1,0,1,0.0,-0.22320000000000206,[-0.22]
h11162158_h6438778,-22.079310344827583,-35.66,-3.909937315425863,-0.18569551964433356,1,1,1,0,100.0,0.26593579566587877,[0.27]
h26830887_h27358539,-145.88793103448276,-201.21,-6.34079900733627,-0.5819998693800267,1,1,0,1,0.0,-0.2672031873294074,[-0.27]
h12988995_h15576332,20.007931034482763,18.71,-3.5866096710970283,-0.43035357627568616,2,1,0,1,0.0,-0.027970047768647532,[-0.03]
h13556823_h7249495,125.94862068965519,579.21,-3.866585802139134,-0.5817525520266038,2,1,0,1,0.0,-0.5443849631950197,[-0.54]
h13556823_h8556771,130.20137931034483,585.71,-3.9559755573365725,-0.5881996946055195,2,1,0,1,0.0,-0.5240819328919901,[-0.52]
h11901244_h12683974,-20.143793103448278,-5.590000000000003,-3.821657755161828,-0.5531086715033133,1,1,1,0,100.0,0.036199095022624306,[0.04]
