distance_furlongs,race_type,course,race_length
10,Flat,Redcar,127.41324
10,Flat,Ripon,125.94668
10,Flat,Roscommon,137.48821
10,Flat,Royal_Ascot,126.17429
10,Flat,Salisbury,129.93132
10,Flat,Sandown,130.54078
10,Flat,Sligo,148.30727
10,Flat,Southwell,134.02538
10,Flat,TRP_Extras,142.48
10,Flat,TurfTV_Extras,143.76091
10,Flat,Warwick,148.87
10,Flat,Wetherby,129.97762
10,Flat,Wexford,125.306
10,Flat,Windsor,129.20333
10,Flat,Yarmouth,129.86397
10,Flat,York,131.10525
11,Flat,Ayr,142.21286
11,Flat,Carlisle,148.65313
11,Flat,Chester,147.68963
11,Flat,Down_Royal,139.95
11,Flat,Downpatrick,153.14545
11,Flat,Dundalk,135.25216
11,Flat,Goodwood,148.84466
11,Flat,Hamilton,145.85194
11,Flat,Haydock,137.53509
11,Flat,Kempton,140.94011
11,Flat,Killarney,149.85322
11,Flat,Leopardstown,144.55333
11,Flat,Limerick,155.395
11,Flat,Lingfield,153.11692
11,Flat,Navan,163.2
11,Flat,Newbury,143.26596
11,Flat,Redcar,142.42692
11,Flat,Ripon,142.579
11,Flat,Roscommon,151.7
11,Flat,Sligo,147.48286
11,Flat,Southwell,148.025
11,Flat,Tralee,147.01429
11,Flat,Warwick,141.64459
11,Flat,Wexford,143.61867
11,Flat,Windsor,149.2262
11,Flat,Yarmouth,149.56614
12,Flat,Ascot,153.79656
12,Flat,Ballinrobe,179.34
12,Flat,Bath,150.84058
12,Flat,Bellewstown,161.42184
12,Flat,Beverley,160.34192
12,Flat,Brighton,154.04069
12,Flat,Carlisle,152.92864
12,Flat,Catterick,160.40982
12,Flat,Chepstow,160.66548
12,Flat,Chester,162.3504
12,Flat,Clonmel,158.20769
12,Flat,Cork,159.1812
12,Flat,Curragh,159.2178
12,Flat,Doncaster,156.05371
12,Flat,Down_Royal,165.62889
12,Flat,Downpatrick,163.87826
12,Flat,Dundalk,153.42565
12,Flat,Epsom_Downs,159.65093
12,Flat,Fairyhouse,161.08964
12,Flat,Ffos_Las,160.5461
12,Flat,Folkestone,161.88755
12,Flat,Galway,165.17961
12,Flat,Goodwood,159.8359
12,Flat,Gowran_Park,163.58658
12,Flat,Hamilton,159.5946
12,Flat,Haydock,153.42307
12,Flat,Kempton,154.58316
12,Flat,Killarney,170.06
12,Flat,Leicester,155.18004
12,Flat,Leopardstown,158.50229
12,Flat,Limerick,165.57714
12,Flat,Lingfield,152.79806
12,Flat,Listowel,165.7419
12,Flat,Musselburgh,162.72746
12,Flat,Naas,158.88575
12,Flat,Navan,174.3
12,Flat,Newbury,157.6936
12,Flat,Newcastle,164.32633
12,Flat,Newmarket,153.37673
12,Flat,Pontefract,160.97079
12,Flat,RMG_Extras,174.17
12,Flat,Ripon,158.1417
12,Flat,Roscommon,162.59259
12,Flat,Royal_Ascot,151.43831
12,Flat,Salisbury,156.53686
12,Flat,Sligo,182.08361
12,Flat,Southwell,160.56725
12,Flat,Thirsk,158.59025
12,Flat,Thurles,162.20462
12,Flat,Tipperary,170.37851
12,Flat,Tralee,164.68437
12,Flat,Tramore,168.96718
12,Flat,TurfTV_Extras,168.5
12,Flat,Wexford,151.56793
12,Flat,Windsor,150.86422
12,Flat,Wolverhampton,160.70758
12,Flat,York,152.74257
12,NHF,Ascot,175.6
12,NHF,Cheltenham,172.60833
12,NHF,Newbury,194.32581
12,NHF,Wetherby,190.935
13,Flat,Ayr,177.24254
